Keyword,Destination URL Pattern,Priority
/blog/page/,/blog,1
/author,/blog,1
/properties,/properties/sale | /properties,1
/property/page/,/properties/sale | /properties,1
/property,/properties/sale | /properties,1
/homes-for-sale,/properties/sale | /properties,1
/listing,/properties/sale | /properties,1
/rent,/properties/sale | /properties,1
/idx,/properties/sale | /properties,1
/property-search,/properties/sale | /properties,1
/search/,/properties/sale | /properties,1
/mls/,/properties/sale | /properties,1

/category,/blog,1
/tag,/blog,1
/blog/,/blog,1
/uncategorized,/blog,1
/press,/press | /blog,1
/in-the-news,/press | /blog,1

/about-us,/about | /about-us,2
/about,/about | /about-us,2

/team,/team | /about | /about-us,2
/our-team,/team | /about | /about-us,2
/agent,/team | /about | /about-us,2
/staff,/team | /about | /about-us,2
/people,/team | /about | /about-us,2

/contact,/contact,2

/testimonials,/testimonials,2
/clients-say,/testimonials,2
/what-our-clients-say,/testimonials,2

/privacy,/privacy-policy | /terms-and-conditions,2
/privacy-policy,/privacy-policy | /terms-and-conditions,2
/terms,/privacy-policy | /terms-and-conditions,2
/disclaimer,/dmca-notice | /privacy-policy | /terms-and-conditions,2

/home-valuation,/home-valuation,2

/communities,/neighborhoods | /communities,2
/state,/neighborhoods | /communities,2
/city,/neighborhoods | /communities,2
/neighborhoods,/neighborhoods | /communities,2

/development,/developments,2
/new-development,/developments,2

/sell,/properties/sale,3
/buy,/properties/sale,3
